,godin,gradnorm,klm,dice,vim,msp,ebo,mds,knn,odin,react,gram,mls
godin,0.8697222222222222,0.8711111111111111,0.8844444444444445,0.8755555555555555,0.8783333333333333,0.8825,0.8791666666666667,0.8694444444444445,0.8819444444444444,0.8733333333333333,0.8858333333333334,0.8702777777777778,0.8794444444444445
gradnorm,0.8711111111111111,0.5813888888888888,0.8175,0.7827777777777778,0.8416666666666667,0.8527777777777777,0.8613888888888889,0.6786111111111112,0.8513888888888889,0.8033333333333333,0.8583333333333333,0.6438888888888888,0.8616666666666667
klm,0.8844444444444445,0.8175,0.7983333333333333,0.8036111111111112,0.8438888888888889,0.8377777777777777,0.8275,0.8275,0.8502777777777778,0.8083333333333333,0.8311111111111111,0.7983333333333333,0.8280555555555555
dice,0.8755555555555555,0.7827777777777778,0.8036111111111112,0.77,0.8511111111111112,0.8386111111111111,0.8244444444444444,0.7797222222222222,0.8502777777777778,0.7863888888888889,0.8280555555555555,0.7744444444444445,0.8244444444444444
vim,0.8783333333333333,0.8416666666666667,0.8438888888888889,0.8511111111111112,0.8416666666666667,0.8508333333333333,0.8533333333333334,0.8502777777777778,0.8522222222222222,0.8416666666666667,0.8516666666666667,0.8388888888888889,0.8508333333333333
msp,0.8825,0.8527777777777777,0.8377777777777777,0.8386111111111111,0.8508333333333333,0.8363888888888888,0.8358333333333333,0.8452777777777778,0.8502777777777778,0.8352777777777778,0.8377777777777777,0.8363888888888888,0.8352777777777778
ebo,0.8791666666666667,0.8613888888888889,0.8275,0.8244444444444444,0.8533333333333334,0.8358333333333333,0.8238888888888889,0.8333333333333334,0.8502777777777778,0.825,0.8269444444444445,0.8263888888888888,0.825
mds,0.8694444444444445,0.6786111111111112,0.8275,0.7797222222222222,0.8502777777777778,0.8452777777777778,0.8333333333333334,0.6372222222222222,0.8583333333333333,0.7713888888888889,0.835,0.6761111111111111,0.8341666666666666
knn,0.8819444444444444,0.8513888888888889,0.8502777777777778,0.8502777777777778,0.8522222222222222,0.8502777777777778,0.8502777777777778,0.8583333333333333,0.8502777777777778,0.8502777777777778,0.8502777777777778,0.8513888888888889,0.8502777777777778
odin,0.8733333333333333,0.8033333333333333,0.8083333333333333,0.7863888888888889,0.8416666666666667,0.8352777777777778,0.825,0.7713888888888889,0.8502777777777778,0.7530555555555556,0.8233333333333334,0.7627777777777778,0.825
react,0.8858333333333334,0.8583333333333333,0.8311111111111111,0.8280555555555555,0.8516666666666667,0.8377777777777777,0.8269444444444445,0.835,0.8502777777777778,0.8233333333333334,0.8255555555555556,0.8236111111111111,0.8269444444444445
gram,0.8702777777777778,0.6438888888888888,0.7983333333333333,0.7744444444444445,0.8388888888888889,0.8363888888888888,0.8263888888888888,0.6761111111111111,0.8513888888888889,0.7627777777777778,0.8236111111111111,0.6191666666666666,0.8261111111111111
mls,0.8794444444444445,0.8616666666666667,0.8280555555555555,0.8244444444444444,0.8508333333333333,0.8352777777777778,0.825,0.8341666666666666,0.8502777777777778,0.825,0.8269444444444445,0.8261111111111111,0.825
